# bad_type_pair_flat_map_time_taken_micros	bad_type_pair_flat_map_iterations	bad_type_pair_map_time_taken_micros	bad_type_pair_map_iterations	bad_type_triple_flat_map_time_taken_micros	bad_type_triple_flat_map_iterations	bad_type_triple_map_time_taken_micros	bad_type_triple_map_iterations	
8319	2143	4828	197	307269	512519	9046	354	
4710	3549	5473	382	1126954	851482	4388	273	
6505	2096	568	209	272645	605790	7228	231	
6475	7853	103	178	482558	345715	5009	388	
6159	3546	271	161	268131	196339	163	203	
5509	4090	394	176	285079	550763	3219	340	
10746	10044	330	158	450885	334787	198	287	
7240	9645	644	208	553112	312975	6867	321	
6443	8736	320	175	176114	120526	3506	249	
4506	1843	4044	346	191178	142824	2260	379	
6665	4333	4439	333	187237	303386	199	248	
5516	6053	3749	230	1167393	727103	2820	379	
6756	8296	3208	279	1256389	864252	3070	260	
7256	11346	4860	161	1410414	864766	7897	329	
5415	5125	3023	258	660622	564338	8193	314	
6672	8425	499	185	117124	287677	1233	283	
5392	3766	3203	230	88860	203908	2567	353	
4391	2530	2418	282	52158	123188	770	365	
8783	5437	3378	242	73212	175462	6157	421	
9397	10238	817	152	84104	193418	456	247	
5312	6350	180	150	67681	123675	216	238	
7100	7017	452	176	88098	208356	4271	163	
9229	6828	10	48	254124	525464	7115	430	
5241	6624	342	224	204420	363759	2991	234	
10007	11683	5082	312	66158	134305	5469	427	
6424	7381	560	249	165533	342743	156	225	
7032	5169	2605	276	160614	371250	2131	296	
7712	11771	842	215	187984	445992	3672	335	
10631	11805	695	139	258515	517163	2710	321	
6163	6871	3330	213	157413	259037	522	286	
6893	9565	798	173	168552	430605	2047	433	
9156	6842	162	196	142911	285023	72	159	
9526	11867	2019	248	126686	254303	6546	292	
4514	3577	3264	201	229341	546434	8321	383	
4987	5989	387	90	80846	138191	4737	350	
7971	7638	395	212	75263	138100	266	214	
8142	10110	1508	170	287547	678650	127	157	
6455	6687	3293	196	95017	165066	5186	334	
4184	2278	164	178	118851	292596	8911	336	
9382	8242	3349	348	356293	781992	249	312	
7443	3361	1347	250	62403	109389	3337	357	
9190	10201	17	59	87656	159012	1571	167	
8026	7868	1554	204	63744	117755	8955	400	
4264	3360	3065	187	157191	345779	485	306	
3717	2838	637	205	268982	658507	4672	347	
3925	3531	1836	200	34218	59775	3193	297	
6032	8613	811	176	129049	254217	102	187	
6274	3934	395	256	114974	215565	5532	396	
10113	9906	3465	330	100265	226598	4929	400	
5073	3018	47	72	84088	210490	457	197	
7269	9660	798	307	71717	163324	3447	298	
4357	3878	370	175	243098	525278	4755	341	
8169	8021	346	161	168019	380252	1703	298	
4377	4725	484	200	104529	235443	8458	530	
4051	2696	387	300	92627	172189	366	253	
4376	4052	1437	226	203228	481386	331	363	
3961	3589	3749	318	59595	128236	8620	339	
5332	6172	3714	273	290938	565394	2319	432	
7256	11150	813	243	75320	142320	5165	443	
5401	3743	3054	284	161526	387851	6764	280	
9601	10519	3469	359	260013	629398	5351	320	
5422	3457	3039	203	138004	297413	892	220	
7569	6202	3295	253	171914	360073	772	230	
6139	8264	1842	296	63373	116777	291	311	
6814	8429	5095	265	361504	693426	3873	229	
8093	10852	1064	215	90351	198730	2355	339	
6131	4728	2571	265	25560	38839	6599	444	
4991	5317	345	207	155816	363384	5996	423	
5200	3633	111	106	306153	594233	1715	230	
5221	3420	2252	244	297097	615939	1167	256	
4812	2714	1295	167	206949	385494	5824	302	
9415	10547	3414	339	111649	239828	3735	417	
6689	8588	1295	204	152815	265441	6743	276	
9475	4980	3913	246	189214	383550	245	299	
6655	4569	690	103	142088	289879	258	267	
12163	9175	5094	251	295278	556580	8222	327	
8031	8045	5345	383	135412	272096	7223	418	
8595	3736	4186	227	318728	599654	422	306	
7575	10808	3764	345	91587	173120	779	319	
5656	6978	358	222	353724	707606	309	328	
5366	5544	2668	173	381643	643990	4339	414	
8828	9942	94	180	65225	155438	3392	263	
8573	7099	2749	178	54021	108852	7133	423	
6494	3957	114	163	129727	289184	498	163	
4149	2547	5392	374	113657	276518	3031	244	
7097	8722	57	114	183339	368853	613	341	
6543	9770	2373	276	187664	425196	3187	366	
4992	3158	208	195	87791	197731	1402	280	
5460	7157	137	209	314296	605580	7237	317	
4742	5000	698	182	60069	152310	917	251	
8872	11818	776	260	58956	140824	8058	266	
4750	3860	4801	385	60253	143676	7863	350	
4824	5469	1520	182	293157	552651	608	340	
12431	11715	246	185	281833	675962	995	271	
9834	10967	4858	313	193931	394616	3023	225	
6339	5720	165	93	136814	289487	212	290	
8813	11318	43	100	125090	246726	196	202	
6612	5400	3798	286	203138	377552	440	284	
10937	9309	1243	198	50888	82458	2065	326	
10747	10942	2739	277	115311	236812	1782	246	
8304	9217	1714	226	105467	209747	912	302	
3542	2094	1348	193	119488	247523	6206	420	
7964	6824	653	108	489602	873066	780	318	
7170	9619	1737	260	207173	447445	1573	255	
5445	6747	299	95	248360	569368	2533	298	
6601	3892	4821	255	245056	490873	375	368	
6900	5990	483	244	198540	390836	6727	314	
8398	7699	156	165	146995	273350	1676	289	
6101	3536	525	115	74386	143411	8565	389	
7720	10543	139	188	7566	14398	7970	382	
9532	9251	4702	336	98067	236422	8036	406	
6700	7706	4233	242	380910	793180	1797	351	
5911	5255	4887	318	249950	487190	681	342	
8122	9320	202	215	153626	272833	525	246	
9028	10457	4619	318	117791	190568	7609	392	
7012	9313	1373	216	20905	28457	5746	374	
8896	7141	770	194	220088	466233	2307	336	
4675	2920	1649	249	213084	389596	1039	356	
8414	9629	1275	137	103322	219300	2983	355	
7399	9608	3581	273	53327	134753	3133	328	
9352	9606	294	204	154041	337433	4968	325	
6682	1784	134	136	401949	843893	196	212	
5895	5018	3227	165	221005	364420	1166	232	
7876	12242	258	179	347424	691018	346	251	
8610	10789	426	102	119033	241434	381	203	
11401	9357	3448	288	322120	609310	1266	291	
6143	8810	179	202	265181	499650	415	251	
5138	6668	2318	284	199905	387855	8888	375	
8530	8694	454	234	103348	211479	3726	322	
8470	7448	604	207	57934	110742	860	241	
7207	7726	2141	151	13858	32904	2059	359	
5259	6653	4872	209	152016	257251	3907	401	
8540	6111	5250	312	173527	316366	269	319	
3879	2797	130	201	58149	139105	4771	239	
